Column,Non-Null Count,Dtype
------,--------------,-----
avg_spin_amt,78497 non-null,float64
rtp_ratio,78497 non-null,float64
ggr_amt,78497 non-null,float64
logins_first_96h,78497 non-null,float64
total_bet_txn,78497 non-null,float64
max_purchase_amt_horly,78497 non-null,float64
max_redeem_amt_hourly,78497 non-null,float64
sum_redeem_txn,78497 non-null,float64
cnt_txn_total,78497 non-null,float64
sum_spin_sc,78497 non-null,float64
sum_spin_cc,78497 non-null,float64
max_eod_sc_balance,78497 non-null,float64
sum_bonus_wheel,78497 non-null,float64
sum_bonus_plinko,78497 non-null,float64
sum_offer_amt,78497 non-null,float64
sum_bonus_amt,78497 non-null,float64
sum_daily_mission,78497 non-null,float64
sum_leaderboard_reward,78497 non-null,float64
time_diff_minutes,78497 non-null,float64
max_bet_amt,78497 non-null,float64
min_bet_amount,78497 non-null,float64
max_win_amt,78497 non-null,float64
avg_rounds_bet,78497 non-null,float64
avg_bet_amt,78497 non-null,float64
max_daily_games_unique,78497 non-null,int64
sum_bonus_promotion_bet_amount,78497 non-null,float64
signup_email_domain_gmail,78497 non-null,int64
signup_email_domain_icloud,78497 non-null,int64
signup_email_domain_other,78497 non-null,int64
signup_email_domain_privaterelay,78497 non-null,int64
signup_email_domain_yahoo,78497 non-null,int64
channel_app,78497 non-null,int64
channel_facebook,78497 non-null,int64
channel_google,78497 non-null,int64
channel_invite friend,78497 non-null,int64
channel_other,78497 non-null,int64
channel_sidelines,78497 non-null,int64
first_geo_region_california,78497 non-null,int64
first_geo_region_florida,78497 non-null,int64
first_geo_region_georgia,78497 non-null,int64
first_geo_region_illinois,78497 non-null,int64
first_geo_region_other,78497 non-null,int64
first_geo_region_texas,78497 non-null,int64
signup_platform_app,78497 non-null,int64
signup_platform_web,78497 non-null,int64
ln_total_bet_amt,78497 non-null,float64
ln_total_win_amt_sc,78497 non-null,float64
ln_total_win_amt_cc,78497 non-null,float64
ln_sum_redeem_amt,78497 non-null,float64
ln_sum_amt_total,78497 non-null,float64
ln_sum_sc_coin_total,78497 non-null,float64
first_purchase_amt,78497 non-null,float64
days_of_activity,78497 non-null,float64